standard_ID,element,measured_conc,standard_conc,configuration
NCS DC73305 Rock,Zn,10.326666666666666,20,"Wet, WS 10 x 15 mm"
NCS DC73305 Rock,Zr,20.613333333333333,214,"Wet, WS 10 x 15 mm"
Titano Gypsum TIG-1,Ca,59606.301666666666,230848,"Wet, WS 10 x 15 mm"
Titano Gypsum TIG-1,Cr,46.84166666666667,246,"Wet, WS 10 x 15 mm"
Titano Gypsum TIG-1,Mn,22.093333333333334,35,"Wet, WS 10 x 15 mm"
Titano Gypsum TIG-1,S,53644.51833333333,17370,"Wet, WS 10 x 15 mm"
Titano Gypsum TIG-1,Si,697.3433333333334,514,"Wet, WS 10 x 15 mm"
Titano Gypsum TIG-1,Ti,1475.0383333333334,4916,"Wet, WS 10 x 15 mm"
Titano Gypsum TIG-1,U,7.2299999999999995,2.5,"Wet, WS 10 x 15 mm"
Titano Gypsum TIG-1,V,157.18333333333334,560,"Wet, WS 10 x 15 mm"
Titano Gypsum TIG-1,Zn,5.58,32,"Wet, WS 10 x 15 mm"
Titano Gypsum TIG-1,Zr,0.5025,80,"Wet, WS 10 x 15 mm"
